"('P1_l ', 'Nivel de Ensino')","('P0', 'id')","('P1_m ', 'Área de Formação')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_g ', 'Nivel')","('P4_d ', 'Quais das linguagens listadas abaixo você utiliza no trabalho?')","('P4_d_1 ', 'SQL')","('P4_d_2 ', 'R ')","('P4_d_3 ', 'Python')","('P4_d_4 ', 'C/C++/C#')","('P4_d_5 ', '.NET')","('P4_d_6 ', 'Java')","('P4_d_7 ', 'Julia')","('P4_d_8 ', 'SAS/Stata')","('P4_d_9 ', 'Visual Basic/VBA')","('P4_d_10 ', 'Scala')","('P4_d_11 ', 'Matlab')","('P4_d_12 ', 'Rust')","('P4_d_13 ', 'PHP')","('P4_d_14 ', 'JavaScript')","('P4_d_15 ', 'Não utilizo nenhuma linguagem')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')","('P2_b ', 'Setor')","('P1_i_1 ', 'uf onde mora')","('P2_f ', 'Cargo Atual')","('P4_e ', 'Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?')","('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')","('P2_o_1 ', 'Remuneração/Salário')","('P2_o_2 ', 'Benefícios')","('P2_o_3 ', 'Propósito do trabalho e da empresa')","('P2_o_4 ', 'Flexibilidade de trabalho remoto')","('P2_o_5 ', 'Ambiente e clima de trabalho')","('P2_o_6 ', 'Oportunidade de aprendizado e trabalhar com referências na área')","('P2_o_7 ', 'Plano de carreira e oportunidades de crescimento profissional')","('P2_o_8 ', 'Maturidade da empresa em termos de tecnologia e dados')","('P2_o_9 ', 'Qualidade dos gestores e líderes')","('P2_o_10 ', 'Reputação que a empresa tem no mercado')"
Pós-graduação,pdyc1uxn808javu7zh87t0gmpdyc1ux5,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,pfjwra160wruib6keiqbpfjwujs5jg7z,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Sênior,Python,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,RS,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Python,"Ambiente e clima de trabalho, Remuneração/Salário, Flexibilidade de trabalho remoto",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,pfu1jg8ze6m2s97magpfu14jbvtp0mpy,Outras Engenharias,de R$ 4.001/mês a R$ 6.000/mês,de 5 a 6 anos,Pleno,"SQL, Python, SAS/Stata, Visual Basic/VBA",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Finanças ou Bancos,RS,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,pfvxej0hlmsms81ylpfvxej0hbyq3ze0,Outra opção,de R$ 3.001/mês a R$ 4.000/mês,de 4 a 6 anos,Pleno,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Parda,Marketing,SE,Analista de Dados/Data Analyst,Não utilizo nenhuma das linguagens listadas,"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,pfzujntwjp5n1c6rc49rv0zpfzujn9rf,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Tecnologia/Fábrica de Software,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,Ambiente e clima de trabalho,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,pgp4p2r3pz9nioplijpgp4p2rjsjjcdg,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Tecnologia/Fábrica de Software,MG,Analista de BI/BI Analyst,SQL,"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Pós-graduação,pgsx3cpbi8aoq0x7pgsx3cerarpj5201,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Pleno,R,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Setor Público,RJ,Analista de BI/BI Analyst,R,"Remuneração/Salário, Flexibilidade de trabalho remoto, Reputação que a empresa tem no mercado",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Pós-graduação,phfb4q490ahuratkheqvdlphfbkuqh0r,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Outra Opção,BA,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),SQL,"Plano de carreira e oportunidades de crescimento profissional, Flexibilidade de trabalho remoto, Benefícios",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,phh2gnobeq5wey570gdphh2gn87hh44v,Química / Física,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Júnior,"SQL, R, Python",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Telecomunicação,SP,Analista de Dados/Data Analyst,Python,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,pit8nz5nepynaim1fpidqcxk9wx1mh4h,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,SC,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,"Remuneração/Salário, Benefícios, Ambiente e clima de trabalho",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,pjw0f3yiibv17q3p4pjw0fojuqa3pezl,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Indústria,PE,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Estudante de Graduação,pk2q29r1k592iu8oihfpk2q299v5wu38,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Pleno,"Python, SQL",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Preta,Área de Consultoria,PR,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Python,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,pklxzv7ded294dmooj7mpklxzv8f1ge2,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Internet/Ecommerce,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,ploil5gz9s0qmsr1tploil8y5l2ss9d5,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Área de Consultoria,BA,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,"Flexibilidade de trabalho remoto, Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,ploogf7tnaqkjyigmtrdploogka14cx0,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 3.001/mês a R$ 4.000/mês,Não tenho experiência na área de dados,Júnior,"Python, SQL",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Agronegócios,SP,Analista de Dados/Data Analyst,Python,"Remuneração/Salário, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mestrado,pmub7g7dur6xw31phys33dpmub7b58sd,Outra opção,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Pleno,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Branca,Filantropia/ONG's,AM,Analista de Dados/Data Analyst,Não utilizo nenhuma das linguagens listadas,"Remuneração/Salário, Propósito do trabalho e da empresa, Ambiente e clima de trabalho",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,pn3u3kuscf3d7l8140y4pn3u3kw2avs8,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,"Python, SQL",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Setor Público,RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Python,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mestrado,pnivc90897l7lun74o4ubpnivc9088on,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Sênior,"Python, JavaScript",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,SP,Cientista de Dados/Data Scientist,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,po3bdb2pu135t9hlpo3b684fwctr0s2e,Outras Engenharias,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,"SQL, Python, Visual Basic/VBA",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Parda,Indústria,PR,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,po6q4rmn3kulkqoiwpo6qjs2j5stiqga,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Sênior,"SQL, Python, Visual Basic/VBA",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Finanças ou Bancos,SP,Cientista de Dados/Data Scientist,Python,"Flexibilidade de trabalho remoto, Remuneração/Salário",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mestrado,pobhg6mg4r5kuypobu4ttixpifllyy3p,Outras Engenharias,de R$ 2.001/mês a R$ 3.000/mês,Não tenho experiência na área de dados,Pleno,"R, Python, SQL",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Setor Público,ES,Outras Engenharias (não inclui dev),R,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,powztsx472ra3nmpowztpfk9465g4lqi,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Júnior,"SQL, SAS/Stata",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Finanças ou Bancos,SP,Analista de Negócios/Business Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Doutorado ou Phd,pp6ouo6syjtf7zvow9u6opp6ouo6733z,Outra opção,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Indústria,RS,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,"Flexibilidade de trabalho remoto, Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,pp9qqhuw0wtuw69h2tpp9qqhr70dqbq0,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Júnior,"Python, C/C++/C#",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Amarela,Educação,SP,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Benefícios",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,ppmshu8a8ewhliz2o3fppmshu8yef2t9,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Sênior,Python,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Setor Alimentício,RS,Analytics Engineer,Python,"Remuneração/Salário, Ambiente e clima de trabalho, Propósito do trabalho e da empresa",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,ppz7xqr166ikm7k30lppzj15qlrsenll,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Pleno,"Python, SQL",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Setor Alimentício,MG,Cientista de Dados/Data Scientist,Python,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Flexibilidade de trabalho remoto",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,pq2f6siodhhw9lv6uexzc0qpq2f6s1a2,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Pleno,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,BA,Cientista de Dados/Data Scientist,SQL,"Flexibilidade de trabalho remoto, Ambiente e clima de trabalho, Remuneração/Salário",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,pqbvcx4mf47rrcc3mpqbs7pktbguw07c,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Pleno,"SQL, Python, Scala",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Área de Consultoria,SP,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Qualidade dos gestores e líderes",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Mestrado,prgn0z1ui7jujpbp2jfprgn0d22cew4z,Outras Engenharias,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Tecnologia/Fábrica de Software,PE,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Graduação/Bacharelado,prszvwqe1xynzbdpprszvq1chdwtxvku,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Branca,Educação,SP,Outra Opção,Não utilizo nenhuma das linguagens listadas,"Plano de carreira e oportunidades de crescimento profissional, Oportunidade de aprendizado e trabalhar com referências na área",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,prx9ggko7zz0nai7prx69rvz4fnszw4l,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Pleno,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Masculino,Parda,Indústria,MG,Analista de BI/BI Analyst,Não utilizo nenhuma das linguagens listadas,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,pscjmrukve1r5g15xcc8pscjminigfzq,Outras Engenharias,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Júnior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,SP,Analista de BI/BI Analyst,SQL,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Pós-graduação,ptecwbjopxzptytntuz5sllbzpcgab1y,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Pleno,"SQL, R, Python, Scala",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,RS,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pós-graduação,ptpjgudcq42ypg7nqc6sciptpjgudxeo,Outras Engenharias,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Amarela,Varejo,SP,Analista de Dados/Data Analyst,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Pós-graduação,pu6bqpsek1lj8zstepu6bqqly5f826bd,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Sênior,"Python, SQL, JavaScript, Visual Basic/VBA",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Masculino,Parda,Finanças ou Bancos,DF,Outra Opção,Python,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Estudante de Graduação,pua1izwvqxna0ael73pua1iz34jbtmsj,Outras Engenharias,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Júnior,Não utilizo nenhuma das linguagens listadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feminino,Branca,Telecomunicação,SP,Analista de BI/BI Analyst,Não utilizo nenhuma das linguagens listadas,"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Graduação/Bacharelado,puk638mqt5p49gesi48puk638m67n764,Outras Engenharias,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Pleno,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Agronegócios,SC,Analista de BI/BI Analyst,Python,"Flexibilidade de trabalho remoto, Remuneração/Salário, Qualidade dos gestores e líderes",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Pós-graduação,punwmz01f945zf6punwmz70roev393xs,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Pleno,"SQL, Python, R, Visual Basic/VBA",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Setor Automotivo,PR,Analista de Dados/Data Analyst,SQL,"Flexibilidade de trabalho remoto, Ambiente e clima de trabalho, Remuneração/Salário",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mestrado,pvofkv9y8ty5mrzo0yu4jpvofkv960p4,Química / Física,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Júnior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Parda,Finanças ou Bancos,RJ,Cientista de Dados/Data Scientist,Python,"Maturidade da empresa em termos de tecnologia e dados, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Pós-graduação,pw6q98w3whekonz85pw6q9i5rkys88sr,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Sênior,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Amarela,Varejo,SP,Analytics Engineer,SQL,"Flexibilidade de trabalho remoto, Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,pwynq6lh9kne6csubipwynq6fvnohsp4,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,PE,Cientista de Dados/Data Scientist,Python,"Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados, Plano de carreira e oportunidades de crescimento profissional",0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Graduação/Bacharelado,pxcmlqvra0xxh1zmvu8uba0pxcmldvhp,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,"R, Python, SQL",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Tecnologia/Fábrica de Software,PB,Cientista de Dados/Data Scientist,Python,"Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados, Remuneração/Salário",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Mestrado,pxxnnjefqnjejua9jpxxnn2c7t8rqo02,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 1.001/mês a R$ 2.000/mês,de 3 a 4 anos,Pleno,"SQL, R, Python",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feminino,Branca,Tecnologia/Fábrica de Software,SP,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Graduação/Bacharelado,py6mzasglev27ub1pvhpmpy6mzqkwlmt,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Sênior,"SQL, Python",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Masculino,Branca,Finanças ou Bancos,RS,Analista de Dados/Data Analyst,SQL,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
